date,avgtem,avgrhu,pre,evp,avgwin,ssd
2015/1/1,1.8,0.55,0,2.1,1.3,8.6
2015/1/2,5.2,0.61,0,1.7,0.8,0
2015/1/3,4.7,0.73,0,2,0.9,6.4
2015/1/4,7.6,0.74,0,1.6,0.8,6.8
2015/1/5,11.3,0.77,0.5,1.1,1.6,0
2015/1/6,6,0.79,6,1.8,3.4,0
2015/1/7,2.5,0.82,0,1.2,0.7,6.6
2015/1/8,3.6,0.81,0,1.1,0.7,5.1
2015/1/9,5.8,0.83,0,0.9,0.4,0
2015/1/10,5.7,0.82,0,1.2,0.5,8
2015/1/11,5.4,0.81,0,1.2,0.3,6.9
2015/1/12,8.1,0.76,0,1.2,2,0
2015/1/13,6.7,0.78,0.001,1.4,1.4,2.6
2015/1/14,3.9,0.87,0,1.3,0.7,5.4
2015/1/15,4.2,0.88,0,0.7,0.4,0
2015/1/16,5.1,0.8,0,1.4,0.6,8.1
2015/1/17,3.5,0.74,0,1.7,1.2,5.6
2015/1/18,7.2,0.64,0,1.8,1.6,4.7
2015/1/19,5.6,0.74,0,1.6,0.8,3.3
2015/1/20,8.2,0.66,0,1.1,0.7,1.9
2015/1/21,6.2,0.63,0,2.5,1.9,7.1
2015/1/22,3.9,0.63,0,2,1.7,6
2015/1/23,8.2,0.54,0,1.9,1.8,3.4
2015/1/24,11.8,0.63,0.001,1.4,0.8,0
2015/1/25,6.6,0.86,1.3,1.2,2.9,0
2015/1/26,6.4,0.84,0.4,0.8,1.7,0
2015/1/27,4.1,0.91,11.5,1.7,5.4,0
2015/1/28,0.2,0.94,10.5,2.5,2.9,0
2015/1/29,-0.5,0.94,5.5,0.1,2.4,0
2015/1/30,-0.3,0.87,0,0.7,2.3,1.4
2015/1/31,1.9,0.74,0.001,1,2,0
